	Arid1a_fold_change
1415971_at	0.924561398374272
1415972_at	0.936687435870569
1415973_at	0.950736083893848
1415974_at	1.01677992955062
1415975_at	1.33428404875589
1415976_a_at	1.23154929932452
1415977_at	1.17558363838771
1415978_at	1.01190136980026
1415979_x_at	0.968582023171791
1415980_at	1.0376449298735
1415981_at	0.936274821378428
1415982_at	0.969802219728492
1415983_at	0.799117971330861
1415984_at	0.977314273612374
1415985_at	0.999286820572834
1415986_at	1.09024970000285
1415987_at	0.969110303239022
1415988_at	0.599464847430178
1415989_at	1.05098483847841
1415990_at	1.03272775236153
1415991_a_at	1.03608245433479
1415992_at	0.919636488493379
1415993_at	0.555889945614803
1415994_at	1.24784602990797
1415995_at	1.11275508382667
1415996_at	1.17440834220098
1415997_at	1.29740198003641
1415998_at	1.01058173430788
1415999_at	1.37715245628261
1416000_a_at	0.914238008922512
1416001_a_at	1.22559665982368
1416002_x_at	1.33588797495055
1416003_at	1.00119555056178
1416004_at	1.05972623700428
1416005_at	0.937677223601233
1416006_at	1.33559541989934
1416007_at	1.2730185023759
1416008_at	1.11816788135155
1416009_at	1.04419749789354
1416010_a_at	0.945167922053169
1416011_x_at	1.08122779359688
1416012_at	1.090241876487
1416013_at	1.15491447346205
1416014_at	0.878928523505539
1416015_s_at	0.957860006497778
1416016_at	1.0873404857323
1416017_at	1.18861901591038
1416018_at	0.988795176991365
1416019_at	0.894091685818408
1416020_a_at	0.913106372598602
1416021_a_at	1.15275905647985
1416022_at	1.1988149288987
1416023_at	1.26976842557397
1416024_x_at	0.928244791501958
1416025_at	1.05893791645844
1416026_a_at	0.999769658194372
1416027_at	0.912783540228237
1416028_a_at	0.840492216203844
1416029_at	0.868812867158002
1416030_a_at	0.929711166869428
1416031_s_at	0.880907517183864
1416032_at	1.00490032869013
1416033_at	1.15644729268418
1416034_at	0.815606831570548
1416035_at	0.951244349117215
1416036_at	1.24733222204078
1416037_a_at	1.03750303302159
1416038_at	1.01104475549372
1416039_x_at	1.1437652875866
1416040_at	1.12959963583863
1416041_at	1.64833947048242
1416042_s_at	0.882320852323272
1416043_at	1.07166871167462
1416044_at	0.987695899001487
1416045_a_at	1.04693923372371
1416046_a_at	0.60860153253438
1416047_at	1.1325160054016
1416048_at	1.03224559174682
1416049_at	0.588008971082964
1416050_a_at	1.54402074141663
1416051_at	1.24144751732208
1416052_at	0.969960027421262
1416053_at	1.24686306438605
1416054_at	1.00061608055573
1416055_at	1.00052116410967
